district,soil_type,pH,N_mg_per_kg,P_mg_per_kg,K_mg_per_kg,organic_carbon_pct,zinc_mg_per_kg,iron_mg_per_kg,copper_mg_per_kg,manganese_mg_per_kg,boron_mg_per_kg
AMBALA,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
BHIWANI,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
FARIDABAD,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
FATEHABAD,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
GURGAON,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
HISAR,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
JHAJJAR,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
JIND,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
KAITHAL,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
KARNAL,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
KURUKSHETRA,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
MAHENDRAGARH,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
MEWAT,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
PALWAL,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
PANCHKULA,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
PANIPAT,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
REWARI,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
ROHTAK,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
SIRSA,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
SONIPAT,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
YAMUNANAGAR,Alluvial,7.7,12000.0,35.0,180.0,0.76,1.5,15.0,1.2,8.0,0.5
AHMADABAD,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
AMRELI,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
ANAND,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
BANAS KANTHA,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
BHARUCH,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
BHAVNAGAR,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
DANG,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
DOHAD,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
GANDHINAGAR,Black,7.2,13400.0,35.0,180.0,0.9,1.5,15.0,1.2,8.0,0.5
